#go-basic.obo: fmt(1.2) rel(2018-09-19) 47,343 GO Terms
#Study: 441 vs. Population 38747
#
#44 GO IDs in assc. are not found in the GO-DAG: GO:0030806 GO:0001153 GO:0001152 GO:1904720 GO:0001076 GO:0004871 GO:0030820 GO:0031658 GO:0030817 GO:0001191 GO:0001190 GO:0030818 GO:0030819 GO:0030816 GO:0005057 GO:0030814 GO:0030815 GO:0004716 GO:0001087 GO:0000989 GO:0000988 GO:0001026 GO:1904722 GO:0035625 GO:0001007 GO:0006987 GO:0009400 GO:0001129 GO:0030827 GO:0001084 GO:0030825 GO:0030823 GO:0030969 GO:0030804 GO:0030807 GO:0001082 GO:0030803 GO:0030828 GO:0090485 GO:0004702 GO:0000990 GO:0000991 GO:0031659 GO:0098811
# 47% 18,283 of 38,747 population items found in association
# 53%    235 of    441 study items found in association
#100%    441 of    441 study items found in population(38747)
#Calculating 19,793 uncorrected p-values using fisher
#  19,793 GO terms are associated with 18,283 of 38,747 population items
#   4,015 GO terms are associated with    235 of    441 study items
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local bonferroni
#      10 GO terms found significant (< 0.05=alpha) after multitest correction: local sidak
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local holm
#      95 GO terms found significant (< 0.05=alpha) after multitest correction: statsmodels fdr_bh
#  1,075 of 19,793 results have uncorrected P-values <= 0.05=pval
#
# Generated by GOATOOLS v0.8.12 (2019-08-09)
# min_ratio=None pval=0.05
GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
....GO:0006915	BP	e	apoptotic process             	11/441	416/38747	0.00871	4	11	1	1	1	0.384	t10518aep, t13546aep, t13547aep, t13899aep, t16182aep, t20542aep, t33020aep, t36337aep, t5403aep, t7281aep, t8645aep
...GO:0010033	BP	e	response to organic substance 	31/441	1671/38747	0.00885	3	31	1	1	1	0.388	t14055aep, t16424aep, t16778aep, t17750aep, t18501aep, t18960aep, t19405aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t2368aep, t24687aep, t2479aep, t26772aep, t29490aep, t2978aep, t31838aep, t32280aep, t32984aep, t34424aep, t35573aep, t35837aep, t38672aep, t38673aep, t5403aep, t5914aep, t8582aep, t9936aep
......GO:0007268	BP	e	chemical synaptic transmission	6/441	155/38747	0.00887	7	6	1	1	1	0.388	t13511aep, t17803aep, t24938aep, t31838aep, t32280aep, t9936aep
.GO:0032502	BP	e	developmental process         	70/441	4532/38747	0.00888	1	70	1	1	1	0.388	t10028aep, t10593aep, t11116aep, t11695aep, t12198aep, t12680aep, t13546aep, t13547aep, t14055aep, t16424aep, t16778aep, t17803aep, t17956aep, t18683aep, t18960aep, t19259aep, t19587aep, t203aep, t20542aep, t21013aep, t21682aep, t22133aep, t23648aep, t23663aep, t24246aep, t24687aep, t24938aep, t2654aep, t27094aep, t29103aep, t29490aep, t29674aep, t30176aep, t31144aep, t32280aep, t32561aep, t32607aep, t32984aep, t33020aep, t33022aep, t34385aep, t34424aep, t34609aep, t35488aep, t35573aep, t35837aep, t36169aep, t36337aep, t37004aep, t37043aep, t38432aep, t38611aep, t38653aep, t38672aep, t38673aep, t3924aep, t4831aep, t5403aep, t5520aep, t6387aep, t7281aep, t7288aep, t7326aep, t7712aep, t8142aep, t8582aep, t8645aep, t8946aep, t9529aep, t9936aep
....GO:0060627	BP	e	regulation of vesicle-mediated transport	11/441	418/38747	0.00901	5	11	1	1	1	0.389	t11695aep, t12198aep, t13511aep, t17803aep, t19587aep, t24938aep, t28512aep, t30358aep, t31838aep, t32984aep, t9936aep
.....GO:0051172	BP	e	negative regulation of nitrogen compound metabolic process	33/441	1828/38747	0.00903	5	33	1	1	1	0.389	t11695aep, t12198aep, t14055aep, t16424aep, t16778aep, t17722aep, t17750aep, t18960aep, t19405aep, t203aep, t20662aep, t21682aep, t24687aep, t2654aep, t26772aep, t2978aep, t31144aep, t3141aep, t3142aep, t32984aep, t34385aep, t34424aep, t34609aep, t35488aep, t35573aep, t36169aep, t36337aep, t37043aep, t38672aep, t5914aep, t8490aep, t8582aep, t8645aep
....GO:0070783	BP	e	growth of unicellular organism as a thread of attached cells	3/441	38/38747	0.0092	4	3	1	1	1	0.389	t13546aep, t13547aep, t18960aep
......GO:0048661	BP	e	positive regulation of smooth muscle cell proliferation	3/441	38/38747	0.0092	6	3	1	1	1	0.389	t21682aep, t24687aep, t34424aep
...GO:0030010	BP	e	establishment of cell polarity	5/441	112/38747	0.00927	3	5	1	1	1	0.389	t13546aep, t13547aep, t18960aep, t20542aep, t7326aep
..GO:0007117	BP	e	budding cell bud growth       	2/441	13/38747	0.00928	2	2	1	1	1	0.389	t18960aep, t7326aep
......GO:0042053	BP	e	regulation of dopamine metabolic process	2/441	13/38747	0.00928	7	2	1	1	1	0.389	t32280aep, t38653aep
....GO:0044126	BP	e	regulation of growth of symbiont in host	2/441	13/38747	0.00928	5	2	1	1	1	0.389	t24687aep, t34424aep
......GO:0014065	BP	e	phosphatidylinositol 3-kinase signaling	2/441	13/38747	0.00928	8	2	1	1	1	0.389	t38432aep, t7326aep
....GO:0008626	BP	e	granzyme-mediated apoptotic signaling pathway	2/441	13/38747	0.00928	6	2	1	1	1	0.389	t24687aep, t34424aep
...GO:0051883	BP	e	killing of cells in other organism involved in symbiotic interaction	2/441	13/38747	0.00928	6	2	1	1	1	0.389	t24687aep, t34424aep
....GO:0048085	BP	e	adult chitin-containing cuticle pigmentation	2/441	13/38747	0.00928	4	2	1	1	1	0.389	t14055aep, t38653aep
.....GO:0002691	BP	e	regulation of cellular extravasation	2/441	13/38747	0.00928	8	2	1	1	1	0.389	t24687aep, t34424aep
....GO:0002759	BP	e	regulation of antimicrobial humoral response	2/441	13/38747	0.00928	6	2	1	1	1	0.389	t24687aep, t34424aep
....GO:0044144	BP	e	modulation of growth of symbiont involved in interaction with host	2/441	13/38747	0.00928	5	2	1	1	1	0.389	t24687aep, t34424aep
.....GO:0051818	BP	e	disruption of cells of other organism involved in symbiotic interaction	2/441	13/38747	0.00928	5	2	1	1	1	0.389	t24687aep, t34424aep
......GO:0006468	BP	e	protein phosphorylation       	38/441	2192/38747	0.00944	7	38	1	1	1	0.395	t11116aep, t13511aep, t17803aep, t17956aep, t18960aep, t19259aep, t20542aep, t20852aep, t21013aep, t21682aep, t22133aep, t24687aep, t25302aep, t2654aep, t28206aep, t29320aep, t29764aep, t30054aep, t31503aep, t31813aep, t31838aep, t31997aep, t3227aep, t32984aep, t34424aep, t34475aep, t35271aep, t35590aep, t35592aep, t37460aep, t38432aep, t3924aep, t514aep, t515aep, t5403aep, t7281aep, t8946aep, t9936aep
......GO:1902533	BP	e	positive regulation of intracellular signal transduction	14/441	594/38747	0.00987	7	14	1	1	1	0.41	t17178aep, t18960aep, t20542aep, t21682aep, t22133aep, t24246aep, t29320aep, t2978aep, t32280aep, t32984aep, t35608aep, t3924aep, t5403aep, t8946aep
......GO:0030178	BP	e	negative regulation of Wnt signaling pathway	6/441	159/38747	0.00999	7	6	1	1	1	0.41	t16424aep, t29674aep, t30176aep, t33022aep, t7326aep, t8142aep
...GO:0040012	BP	e	regulation of locomotion      	16/441	705/38747	0.0102	3	16	1	1	1	0.41	t10028aep, t12198aep, t16424aep, t19259aep, t20542aep, t21682aep, t24687aep, t29103aep, t32280aep, t32984aep, t34385aep, t34424aep, t35146aep, t35488aep, t7326aep, t9936aep
.......GO:0015718	BP	e	monocarboxylic acid transport 	5/441	115/38747	0.0103	8	5	1	1	1	0.41	t17803aep, t24938aep, t32280aep, t8222aep, t9936aep
......GO:0045089	BP	e	positive regulation of innate immune response	6/441	161/38747	0.0106	7	6	1	1	1	0.41	t16424aep, t22133aep, t24181aep, t34475aep, t35608aep, t6387aep
.......GO:0030243	BP	e	cellulose metabolic process   	3/441	40/38747	0.0106	8	3	1	1	1	0.41	t29612aep, t35271aep, t5520aep
.....GO:0002687	BP	e	positive regulation of leukocyte migration	3/441	40/38747	0.0106	8	3	1	1	1	0.41	t21682aep, t24687aep, t34424aep
....GO:1903530	BP	e	regulation of secretion by cell	11/441	428/38747	0.0106	6	11	1	1	1	0.41	t17178aep, t17803aep, t24938aep, t29103aep, t2978aep, t30358aep, t31838aep, t32280aep, t32984aep, t6387aep, t9936aep
...GO:0009620	BP	e	response to fungus            	4/441	75/38747	0.0107	5	4	1	1	1	0.41	t24687aep, t34424aep, t35573aep, t5914aep
.......GO:0071073	BP	e	positive regulation of phospholipid biosynthetic process	2/441	14/38747	0.0107	9	2	1	1	1	0.41	t13546aep, t13547aep
......GO:0090129	BP	e	positive regulation of synapse maturation	2/441	14/38747	0.0107	7	2	1	1	1	0.41	t18683aep, t34609aep
...GO:0048067	BP	e	cuticle pigmentation          	2/441	14/38747	0.0107	3	2	1	1	1	0.41	t14055aep, t38653aep
.....GO:0090084	BP	e	negative regulation of inclusion body assembly	2/441	14/38747	0.0107	6	2	1	1	1	0.41	t16778aep, t27033aep
....GO:0061009	BP	e	common bile duct development  	2/441	14/38747	0.0107	4	2	1	1	1	0.41	t13546aep, t13547aep
.....GO:1905477	BP	e	positive regulation of protein localization to membrane	4/441	76/38747	0.0112	7	4	1	1	1	0.41	t13546aep, t13547aep, t24687aep, t34424aep
....GO:0009889	BP	e	regulation of biosynthetic process	62/441	3965/38747	0.0112	4	62	1	1	1	0.41	t10593aep, t11695aep, t13546aep, t13547aep, t13899aep, t14055aep, t14593aep, t14735aep, t16424aep, t16778aep, t17178aep, t17803aep, t17893aep, t18342aep, t18960aep, t19405aep, t20542aep, t21013aep, t21682aep, t22133aep, t23663aep, t24687aep, t24791aep, t24938aep, t24949aep, t25302aep, t25651aep, t25683aep, t26772aep, t27641aep, t28405aep, t28608aep, t29584aep, t2978aep, t30054aep, t31997aep, t32561aep, t32984aep, t33020aep, t34385aep, t34424aep, t34538aep, t35488aep, t35573aep, t35837aep, t37004aep, t38458aep, t38672aep, t4831aep, t4924aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7577aep, t7712aep, t8490aep, t8582aep, t8645aep, t9529aep, t9936aep
......GO:0090504	BP	e	epiboly                       	3/441	41/38747	0.0113	6	3	1	1	1	0.41	t13546aep, t13547aep, t7326aep
......GO:0032481	BP	e	positive regulation of type I interferon production	3/441	41/38747	0.0113	6	3	1	1	1	0.41	t16424aep, t22133aep, t24181aep
.......GO:0045580	BP	e	regulation of T cell differentiation	3/441	41/38747	0.0113	8	3	1	1	1	0.41	t20542aep, t8582aep, t8645aep
.......GO:0010104	BP	e	regulation of ethylene-activated signaling pathway	1/441	1/38747	0.0114	8	1	1	1	1	0.41	      t35837aep
........GO:0010105	BP	e	negative regulation of ethylene-activated signaling pathway	1/441	1/38747	0.0114	9	1	1	1	1	0.41	      t35837aep
......GO:0080142	BP	e	regulation of salicylic acid biosynthetic process	1/441	1/38747	0.0114	7	1	1	1	1	0.41	      t35837aep
.......GO:0070173	BP	e	regulation of enamel mineralization	1/441	1/38747	0.0114	8	1	1	1	1	0.41	       t8582aep
.....GO:0044565	BP	e	dendritic cell proliferation  	1/441	1/38747	0.0114	6	1	1	1	1	0.41	      t22133aep
.....GO:0009816	BP	e	defense response to bacterium, incompatible interaction	1/441	1/38747	0.0114	7	1	1	1	1	0.41	      t35837aep
.....GO:0007505	BP	e	adult fat body development    	1/441	1/38747	0.0114	7	1	1	1	1	0.41	      t16424aep
...GO:0010618	BP	e	aerenchyma formation          	1/441	1/38747	0.0114	3	1	1	1	1	0.41	      t35837aep
...GO:0009625	BP	e	response to insect            	1/441	1/38747	0.0114	5	1	1	1	1	0.41	      t35837aep
.....GO:0072538	BP	e	T-helper 17 type immune response	1/441	1/38747	0.0114	5	1	1	1	1	0.41	       t8645aep
...GO:0009863	BP	e	salicylic acid mediated signaling pathway	1/441	1/38747	0.0114	5	1	1	1	1	0.41	      t35837aep
....GO:0009862	BP	e	systemic acquired resistance, salicylic acid mediated signaling pathway	1/441	1/38747	0.0114	6	1	1	1	1	0.41	      t35837aep
......GO:0045066	BP	e	regulatory T cell differentiation	1/441	1/38747	0.0114	7	1	1	1	1	0.41	      t17956aep
.......GO:0002361	BP	e	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	1/441	1/38747	0.0114	9	1	1	1	1	0.41	      t17956aep
.......GO:1904005	BP	e	regulation of phospholipase D activity	1/441	1/38747	0.0114	7	1	1	1	1	0.41	       t8946aep
........GO:1904007	BP	e	positive regulation of phospholipase D activity	1/441	1/38747	0.0114	8	1	1	1	1	0.41	       t8946aep
......GO:0045402	BP	e	regulation of interleukin-4 biosynthetic process	1/441	1/38747	0.0114	7	1	1	1	1	0.41	       t8645aep
.......GO:0045404	BP	e	positive regulation of interleukin-4 biosynthetic process	1/441	1/38747	0.0114	8	1	1	1	1	0.41	       t8645aep
..GO:0071335	BP	e	hair follicle cell proliferation	1/441	1/38747	0.0114	2	1	1	1	1	0.41	       t8582aep
......GO:0052319	BP	e	regulation of phytoalexin biosynthetic process	1/441	1/38747	0.0114	6	1	1	1	1	0.41	      t35837aep
.....GO:0052318	BP	e	regulation of phytoalexin metabolic process	1/441	1/38747	0.0114	5	1	1	1	1	0.41	      t35837aep
......GO:0070297	BP	e	regulation of phosphorelay signal transduction system	1/441	1/38747	0.0114	7	1	1	1	1	0.41	      t35837aep
.......GO:0070298	BP	e	negative regulation of phosphorelay signal transduction system	1/441	1/38747	0.0114	8	1	1	1	1	0.41	      t35837aep
.....GO:0061302	BP	e	smooth muscle cell-matrix adhesion	1/441	1/38747	0.0114	5	1	1	1	1	0.41	      t12198aep
.......GO:0045368	BP	e	positive regulation of interleukin-13 biosynthetic process	1/441	1/38747	0.0114	8	1	1	1	1	0.41	       t8645aep
...GO:0035202	BP	e	tracheal pit formation in open tracheal system	1/441	1/38747	0.0114	3	1	1	1	1	0.41	      t16424aep
...GO:0007562	BP	e	eclosion                      	1/441	1/38747	0.0114	3	1	1	1	1	0.41	      t14055aep
..GO:0044110	BP	e	growth involved in symbiotic interaction	1/441	1/38747	0.0114	2	1	1	1	1	0.41	      t31997aep
...GO:0044116	BP	e	growth of symbiont involved in interaction with host	1/441	1/38747	0.0114	3	1	1	1	1	0.41	      t31997aep
....GO:0044117	BP	e	growth of symbiont in host    	1/441	1/38747	0.0114	4	1	1	1	1	0.41	      t31997aep
.......GO:0071327	BP	e	cellular response to trehalose stimulus	1/441	1/38747	0.0114	7	1	1	1	1	0.41	      t35837aep
......GO:0052320	BP	e	positive regulation of phytoalexin metabolic process	1/441	1/38747	0.0114	6	1	1	1	1	0.41	      t35837aep
.....GO:2001230	BP	e	positive regulation of response to gamma radiation	1/441	1/38747	0.0114	5	1	1	1	1	0.41	      t19259aep
....GO:0048088	BP	e	regulation of male pigmentation	1/441	1/38747	0.0114	5	1	1	1	1	0.41	      t14055aep
....GO:0007105	BP	e	cytokinesis, site selection   	1/441	1/38747	0.0114	4	1	1	1	1	0.41	       t7326aep
.....GO:0010337	BP	e	regulation of salicylic acid metabolic process	1/441	1/38747	0.0114	6	1	1	1	1	0.41	      t35837aep
.......GO:0045082	BP	e	positive regulation of interleukin-10 biosynthetic process	1/441	1/38747	0.0114	8	1	1	1	1	0.41	       t8645aep
....GO:0060405	BP	e	regulation of penile erection 	1/441	1/38747	0.0114	4	1	1	1	1	0.41	      t32280aep
.....GO:0060406	BP	e	positive regulation of penile erection	1/441	1/38747	0.0114	5	1	1	1	1	0.41	      t32280aep
.....GO:0032290	BP	e	peripheral nervous system myelin formation	1/441	1/38747	0.0114	6	1	1	1	1	0.41	       t8582aep
.....GO:2000022	BP	e	regulation of jasmonic acid mediated signaling pathway	1/441	1/38747	0.0114	6	1	1	1	1	0.41	      t35837aep
......GO:1905806	BP	e	regulation of synapse pruning 	1/441	1/38747	0.0114	6	1	1	1	1	0.41	      t19259aep
.....GO:1905845	BP	e	positive regulation of cellular response to gamma radiation	1/441	1/38747	0.0114	6	1	1	1	1	0.41	      t19259aep
....GO:0010495	BP	e	long-distance posttranscriptional gene silencing	1/441	1/38747	0.0114	9	1	1	1	1	0.41	       t5914aep
.....GO:0060386	BP	e	synapse assembly involved in innervation	1/441	1/38747	0.0114	5	1	1	1	1	0.41	      t37004aep
.....GO:0098916	BP	e	anterograde trans-synaptic signaling	6/441	164/38747	0.0115	6	6	1	1	1	0.413	t13511aep, t17803aep, t24938aep, t31838aep, t32280aep, t9936aep
....GO:0090287	BP	e	regulation of cellular response to growth factor stimulus	8/441	267/38747	0.012	4	8	1	1	1	0.429	t16424aep, t18338aep, t21013aep, t21682aep, t25020aep, t2654aep, t31144aep, t4924aep
......GO:0051273	BP	e	beta-glucan metabolic process 	3/441	42/38747	0.0121	7	3	1	1	1	0.432	t29612aep, t35271aep, t5520aep
.....GO:0009967	BP	e	positive regulation of signal transduction	20/441	960/38747	0.0122	6	20	1	1	1	0.433	t17178aep, t18960aep, t20542aep, t21013aep, t21682aep, t22133aep, t24246aep, t24687aep, t29103aep, t29320aep, t2978aep, t32280aep, t32984aep, t34424aep, t35608aep, t35837aep, t3924aep, t5403aep, t6387aep, t8946aep
.....GO:0071359	BP	e	cellular response to dsRNA    	2/441	15/38747	0.0123	6	2	1	1	1	0.433	t35573aep, t8582aep
......GO:0036010	BP	e	protein localization to endosome	2/441	15/38747	0.0123	6	2	1	1	1	0.433	t13546aep, t13547aep
....GO:0036465	BP	e	synaptic vesicle recycling    	2/441	15/38747	0.0123	4	2	1	1	1	0.433	t13546aep, t13547aep
......GO:0090128	BP	e	regulation of synapse maturation	2/441	15/38747	0.0123	6	2	1	1	1	0.433	t18683aep, t34609aep
.....GO:0042069	BP	e	regulation of catecholamine metabolic process	2/441	15/38747	0.0123	6	2	1	1	1	0.433	t32280aep, t38653aep
.....GO:0072321	BP	e	chaperone-mediated protein transport	2/441	15/38747	0.0123	8	2	1	1	1	0.433	t20542aep, t38653aep
......GO:1903305	BP	e	regulation of regulated secretory pathway	4/441	79/38747	0.0127	8	4	1	1	1	0.445	t17803aep, t24938aep, t32984aep, t9936aep
....GO:0060359	BP	e	response to ammonium ion      	4/441	79/38747	0.0127	4	4	1	1	1	0.445	t2368aep, t32280aep, t32984aep, t5403aep
...GO:0007166	BP	e	cell surface receptor signaling pathway	30/441	1664/38747	0.0128	5	30	1	1	1	0.445	t10028aep, t11695aep, t12680aep, t14347aep, t14664aep, t17178aep, t18501aep, t18683aep, t203aep, t20542aep, t21682aep, t2368aep, t24246aep, t2479aep, t26415aep, t2654aep, t29103aep, t31144aep, t33020aep, t34385aep, t34609aep, t35271aep, t35488aep, t36169aep, t5403aep, t6387aep, t7281aep, t7326aep, t8645aep, t8946aep
....GO:0043086	BP	e	negative regulation of catalytic activity	18/441	852/38747	0.0128	4	18	1	1	1	0.445	t12198aep, t17722aep, t17750aep, t20662aep, t21682aep, t2654aep, t2978aep, t31144aep, t3141aep, t3142aep, t32280aep, t32984aep, t34385aep, t34609aep, t36169aep, t36337aep, t37043aep, t38653aep
...GO:0022411	BP	e	cellular component disassembly	9/441	325/38747	0.0128	3	9	1	1	1	0.445	t12198aep, t16424aep, t19259aep, t21013aep, t24687aep, t24938aep, t34424aep, t37004aep, t7388aep
..GO:0098630	BP	e	aggregation of unicellular organisms	3/441	43/38747	0.0129	2	3	1	1	1	0.448	t18960aep, t20542aep, t31144aep
....GO:0002694	BP	e	regulation of leukocyte activation	6/441	169/38747	0.0132	5	6	1	1	1	0.456	t20542aep, t21682aep, t31838aep, t32984aep, t8582aep, t8645aep
...GO:0071695	BP	e	anatomical structure maturation	5/441	123/38747	0.0135	3	5	1	1	1	0.465	t17803aep, t22133aep, t24938aep, t37004aep, t9936aep
...GO:0099536	BP	e	synaptic signaling            	6/441	170/38747	0.0135	4	6	1	1	1	0.465	t13511aep, t17803aep, t24938aep, t31838aep, t32280aep, t9936aep
....GO:0099537	BP	e	trans-synaptic signaling      	6/441	170/38747	0.0135	5	6	1	1	1	0.465	t13511aep, t17803aep, t24938aep, t31838aep, t32280aep, t9936aep
...GO:0009611	BP	e	response to wounding          	7/441	221/38747	0.0138	3	7	1	1	1	0.468	t16424aep, t24687aep, t32280aep, t34424aep, t7326aep, t7388aep, t8946aep
.....GO:0032369	BP	e	negative regulation of lipid transport	2/441	16/38747	0.014	6	2	1	1	1	0.468	t18960aep, t21682aep
....GO:0042220	BP	e	response to cocaine           	2/441	16/38747	0.014	6	2	1	1	1	0.468	t2368aep, t32280aep
.....GO:0070570	BP	e	regulation of neuron projection regeneration	2/441	16/38747	0.014	9	2	1	1	1	0.468	t24687aep, t34424aep
......GO:0071480	BP	e	cellular response to gamma radiation	2/441	16/38747	0.014	7	2	1	1	1	0.468	t36337aep, t3924aep
......GO:0032682	BP	e	negative regulation of chemokine production	2/441	16/38747	0.014	6	2	1	1	1	0.468	t24687aep, t34424aep
.......GO:0032727	BP	e	positive regulation of interferon-alpha production	2/441	16/38747	0.014	7	2	1	1	1	0.468	t16424aep, t22133aep
.....GO:0048679	BP	e	regulation of axon regeneration	2/441	16/38747	0.014	10	2	1	1	1	0.468	t24687aep, t34424aep
...GO:0001525	BP	e	angiogenesis                  	6/441	172/38747	0.0143	3	6	1	1	1	0.477	t21682aep, t29674aep, t30176aep, t33022aep, t8142aep, t8582aep
....GO:0048562	BP	e	embryonic organ morphogenesis 	4/441	82/38747	0.0144	4	4	1	1	1	0.481	t16424aep, t17803aep, t21013aep, t29103aep
...GO:0007186	BP	e	G protein-coupled receptor signaling pathway	22/441	1127/38747	0.0144	5	22	1	1	1	0.481	t10593aep, t14347aep, t14664aep, t14933aep, t17803aep, t18501aep, t18683aep, t2368aep, t24938aep, t25651aep, t26415aep, t2654aep, t32280aep, t32388aep, t33020aep, t34385aep, t34609aep, t35271aep, t37004aep, t37043aep, t536aep, t9936aep
..GO:0032940	BP	e	secretion by cell             	13/441	567/38747	0.0154	5	13	1	1	1	0.508	t13546aep, t13547aep, t17803aep, t18683aep, t20542aep, t21682aep, t24938aep, t29103aep, t29764aep, t31838aep, t37405aep, t7288aep, t9936aep
....GO:0072347	BP	e	response to anesthetic        	3/441	46/38747	0.0155	4	3	1	1	1	0.508	t2368aep, t2479aep, t32280aep
...GO:0048857	BP	e	neural nucleus development    	3/441	46/38747	0.0155	3	3	1	1	1	0.508	t17803aep, t24938aep, t9936aep
.....GO:0006521	BP	e	regulation of cellular amino acid metabolic process	3/441	46/38747	0.0155	6	3	1	1	1	0.508	t17803aep, t24938aep, t9936aep
....GO:0061448	BP	e	connective tissue development 	4/441	84/38747	0.0156	4	4	1	1	1	0.508	t16424aep, t21682aep, t33020aep, t38653aep
.....GO:0046631	BP	e	alpha-beta T cell activation  	2/441	17/38747	0.0157	6	2	1	1	1	0.508	t17956aep, t6387aep
....GO:0055113	BP	e	epiboly involved in gastrulation with mouth forming second	2/441	17/38747	0.0157	7	2	1	1	1	0.508	t13546aep, t13547aep
.....GO:0034394	BP	e	protein localization to cell surface	2/441	17/38747	0.0157	5	2	1	1	1	0.508	t13546aep, t13547aep
.....GO:1901028	BP	e	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	2/441	17/38747	0.0157	8	2	1	1	1	0.508	t24687aep, t34424aep
....GO:0090083	BP	e	regulation of inclusion body assembly	2/441	17/38747	0.0157	5	2	1	1	1	0.508	t16778aep, t27033aep
....GO:0007628	BP	e	adult walking behavior        	2/441	17/38747	0.0157	4	2	1	1	1	0.508	t17803aep, t9936aep
.....GO:0051354	BP	e	negative regulation of oxidoreductase activity	2/441	17/38747	0.0157	5	2	1	1	1	0.508	t32280aep, t32984aep
..GO:0002440	BP	e	production of molecular mediator of immune response	2/441	17/38747	0.0157	2	2	1	1	1	0.508	t24687aep, t34424aep
......GO:0032647	BP	e	regulation of interferon-alpha production	2/441	17/38747	0.0157	6	2	1	1	1	0.508	t16424aep, t22133aep
.....GO:1903037	BP	e	regulation of leukocyte cell-cell adhesion	4/441	85/38747	0.0163	5	4	1	1	1	0.524	t20542aep, t24687aep, t32984aep, t34424aep
......GO:0002702	BP	e	positive regulation of production of molecular mediator of immune response	3/441	47/38747	0.0164	6	3	1	1	1	0.524	t24687aep, t34424aep, t6387aep
......GO:0050709	BP	e	negative regulation of protein secretion	3/441	47/38747	0.0164	8	3	1	1	1	0.524	t2978aep, t32984aep, t6387aep
.........GO:0000186	BP	e	activation of MAPKK activity  	3/441	47/38747	0.0164	13	3	1	1	1	0.524	t29320aep, t32984aep, t3924aep
....GO:0003007	BP	e	heart morphogenesis           	3/441	47/38747	0.0164	4	3	1	1	1	0.524	t12680aep, t16424aep, t21013aep
